id,City,State,SolarInstalled,SolarRank,PerCapitaSolar,PerCapitaSolarRank,Potential,Latitude,Longitude
"anchorage, ak","Anchorage, AK",AK,2.4,59,8.22,58,0,61.2180556,-149.9002778
"birmingham, al","Birmingham, AL",AL,0.74,67,3.52,67,536.8,33.5206608,-86.80249
"little rock, ar","Little Rock, AR",AR,1.8,62,9.1,55,800,34.7465,-92.2896
"phoenix, az","Phoenix, AZ",AZ,272.4,4,164.07,8,2981.4,33.4483771,-112.0740373
"los angeles, ca","Los Angeles, CA",CA,483.8,1,121.24,15,5443.7,34.0522342,-118.2436849
"riverside, ca","Riverside, CA",CA,50.89,17,154.17,9,612.1,33.9533487,-117.3961564
"sacramento, ca","Sacramento, CA",CA,57.37,15,112.82,16,777.2,38.5815719,-121.4943996
"san diego, ca","San Diego, CA",CA,420.38,2,294.8,2,2218.8,32.715738,-117.1610838
"san francisco, ca","San Francisco, CA",CA,54.86,16,62.11,22,671.5,37.7749295,-122.4194155
"san jose, ca","San Jose, CA",CA,223.67,7,217.13,4,1638.5,37.3382082,-121.8863286
"denver, co","Denver, CO",CO,104.57,11,145.95,10,677.4,39.7392358,-104.990251
"hartford, ct","Hartford, CT",CT,8.56,38,69.8,20,117.5,41.7637111,-72.6850932
"washington, dc","Washington, DC",DC,88.97,12,126.66,13,343.9,38.9071923,-77.0368707
"wilmington, de","Wilmington, DE",DE,5.77,47,81.65,18,72,39.7390721,-75.5397878
"jacksonville, fl","Jacksonville, FL",FL,63.63,13,70.4,19,1714.5,30.3321838,-81.655651
"miami, fl","Miami, FL",FL,4.7,52,9.99,53,750.7,25.7616798,-80.1917902
"orlando, fl","Orlando, FL",FL,9.96,35,34.87,32,582.5,28.5383355,-81.3792365
"tampa, fl","Tampa, FL",FL,16.5,29,42,29,783.1,27.950575,-82.4571776
"atlanta, ga","Atlanta, GA",GA,7.43,43,14.91,48,495.5,33.7489954,-84.3879824
"honolulu, hi","Honolulu, HI",HI,292.12,3,840.88,1,0,21.3069444,-157.8583333
"des moines, ia","Des Moines, IA",IA,1.47,64,6.79,61,351.1,41.5868,-93.625
"boise, id","Boise, ID",ID,7.56,41,33.04,33,428.1,43.6135,-116.20345
"chicago, il","Chicago, IL",IL,24.42,25,9.02,56,2775.3,41.8781136,-87.6297982
"indianapolis, in","Indianapolis, IN",IN,122.28,9,141.01,12,0,39.768403,-86.158068
"wichita, ks","Wichita, KS",KS,1.77,63,4.54,66,802.5,37.688889,-97.336111
"louisville, ky","Louisville, KY",KY,2.18,60,3.52,67,0,38.2526647,-85.7584557
"new orleans, la","New Orleans, LA",LA,48.9,18,125.06,14,1276.6,29.9510658,-90.0715323
"boston, ma","Boston, MA",MA,38.56,20,55.51,25,340.8,42.3600825,-71.0588801
"baltimore, md","Baltimore, MD",MD,15.31,30,25.42,38,459.7,39.2903848,-76.6121893
"portland, me","Portland, ME",ME,3.64,56,54.75,26,108.6,43.661471,-70.2553259
